path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade
lorong_8_toa_payoh,TPYLor82Q25,316.0,30934.688,35485.794,3.062,3.062,3.076,0.352,1.0
lorong_8_toa_payoh,TPYLor82Q25,318.0,30934.634,35487.793,3.092,3.092,3.092,0.222,1.0
lorong_8_toa_payoh,TPYLor82Q25,320.0,30934.58,35489.793,3.136,3.136,3.136,0.205,1.0
lorong_8_toa_payoh,TPYLor82Q25,322.0,30934.495,35491.791,3.138,3.138,3.138,,
lorong_8_toa_payoh,TPYLor82Q25,324.0,30934.402,35493.789,3.21,3.21,3.21,,
lorong_8_toa_payoh,TPYLor82Q25,326.0,30934.308,35495.786,3.292,3.292,3.292,,
lorong_8_toa_payoh,TPYLor82Q25,328.0,30934.215,35497.784,4.379,3.346,3.346,,
lorong_8_toa_payoh,TPYLor82Q25,330.0,30934.149,35499.783,3.364,3.399,3.346,,
lorong_8_toa_payoh,TPYLor82Q25,332.0,30934.118,35501.783,3.452,3.452,3.346,0.019,1.0
lorong_8_toa_payoh,TPYLor82Q25,334.0,30934.086,35503.782,3.192,3.192,3.351,-0.008,1.0
lorong_8_toa_payoh,TPYLor82Q25,336.0,30934.055,35505.782,3.216,3.216,3.351,0.018,1.0
lorong_8_toa_payoh,TPYLor82Q25,338.0,30934.023,35507.782,3.351,3.351,3.351,0.045,1.0
lorong_8_toa_payoh,TPYLor82Q25,340.0,30933.991,35509.782,3.518,3.518,3.351,0.061,1.0
lorong_8_toa_payoh,TPYLor82Q25,342.0,30933.962,35511.781,3.594,3.594,3.359,0.103,1.0
lorong_8_toa_payoh,TPYLor82Q25,344.0,30933.932,35513.781,3.336,3.336,3.359,0.103,1.0
lorong_8_toa_payoh,TPYLor82Q25,346.0,30933.902,35515.781,3.359,3.359,3.336,0.103,1.0
lorong_8_toa_payoh,TPYLor82Q25,348.0,30933.873,35517.781,3.323,3.323,3.336,0.077,1.0
lorong_8_toa_payoh,TPYLor82Q25,350.0,30933.843,35519.781,3.334,3.334,3.341,0.004,1.0
lorong_8_toa_payoh,TPYLor82Q25,352.0,30933.851,35521.779,3.344,3.344,3.334,-0.078,1.0
lorong_8_toa_payoh,TPYLor82Q25,354.0,30933.999,35523.774,3.341,3.341,3.334,-0.198,1.0
lorong_8_toa_payoh,TPYLor82Q25,356.0,30934.146,35525.768,3.306,3.306,3.306,-0.335,1.0
lorong_8_toa_payoh,TPYLor82Q25,358.0,30934.294,35527.763,3.265,3.265,3.265,,
lorong_8_toa_payoh,TPYLor82Q25,360.0,30934.422,35529.759,3.21,3.21,3.21,,
lorong_8_toa_payoh,TPYLor82Q25,362.0,30934.502,35531.757,3.209,3.209,3.209,-0.376,1.0
lorong_8_toa_payoh,TPYLor82Q25,364.0,30934.582,35533.755,6.174,3.186,3.186,-0.365,1.0
lorong_8_toa_payoh,TPYLor82Q25,366.0,30934.661,35535.754,3.163,3.163,3.163,-0.345,1.0
lorong_8_toa_payoh,TPYLor82Q25,368.0,30934.741,35537.752,3.154,3.154,3.154,,
lorong_8_toa_payoh,TPYLor82Q25,370.0,30934.821,35539.751,3.133,3.133,3.138,,
lorong_8_toa_payoh,TPYLor82Q25,372.0,30934.776,35541.748,3.138,3.138,3.138,-0.319,1.0
lorong_8_toa_payoh,TPYLor82Q25,374.0,30934.674,35543.746,3.137,3.137,3.138,-0.312,1.0
